date from,date to,cat,location,city,event
2018-08-30,,impro,H15,"Kopenhagen, DK","with Jesper Løvdal, Seppo Gründler, Andreas Weixler & Josef Klammer – ALPENGLOW 6 – Styria meets Copenhagen - <a href='http://vnm.mur.at/'>http://vnm.mur.at/</a>"
2017-10-31,,dj,Parkhouse,Graz,"as Henry Bootz - ""Y? Y? Y? Y?"" hosted by landlordbeats - <a href='https://www.facebook.com/events/2025658897657625/'>event on facebook</a>"
2017-06-30,,dj,Parkhouse,Graz,"as Henry Bootz - ""Snyders Wax Kitchen Vol. XIV (Summer Edition)"" - <a href='https://www.facebook.com/events/115244262419317/'>event on facebook</a>"
2017-01-07,,dj,Kombüse,Graz,as Gerry Leisure aka Leisure Suit Gerry - <a href='https://www.facebook.com/kombuese.graz'>Kombüse on facebook</a>
2017-01-05,,airplay,Radio Ö1,AT,Zeit-ton: 20 Jahre V:NM. anniversary party (Gestaltung: Franz Josef Kerstinger) - <a href='http://oe1.orf.at/programm/456802'>http://oe1.orf.at/programm/456802</a>
2016-12-20,,,茶々丸 / Baustelle Kultur in Graz,Graz,as Gerry Leisure aka Leisure Suit Gerry - Winterschluss WeiFei - <a href='http://kig.mur.at.kwml.net/output/?e=51&page=kig6prog&a=f3e819c2&b=20.12.2016+Daichi+Yoshikawa+%26+Samo+Kutin'>KiG</a>
2016-11-25,,impro,Stockwerk,Graz,20th anniversary party of V:NM - <a href='http://vnm.mur.at/'>http://vnm.mur.at/</a>
2016-11-05,,dj,Kombüse,Graz,as Gerry Leisure aka Leisure Suit Gerry - <a href='https://www.facebook.com/kombuese.graz'>Kombüse on facebook</a>
2016-09-10,,dj,Kombüse,Graz,as Gerry Leisure aka Leisure Suit Gerry - <a href='https://www.facebook.com/kombuese.graz'>Kombüse on facebook</a>
2016-08-06,,dj,Kombüse,Graz,as Gerry Leisure aka Leisure Suit Gerry - <a href='https://www.facebook.com/kombuese.graz'>Kombüse on facebook</a>
2016-07-21,2016-07-24,impro,,"Trondheim, NO",ALPENGLOW V - Styria meets Trondheim
2016-05-20,,dj,Kombüse,Graz,as Gerry Leisure aka Leisure Suit Gerry - <a href='https://www.facebook.com/kombuese.graz'>Kombüse on facebook</a>
2016-04-15,,dj,Kombüse,Graz,as Gerry Leisure aka Leisure Suit Gerry - <a href='https://www.facebook.com/kombuese.graz'>Kombüse on facebook</a>
2016-03-19,,dj,Kombüse,Graz,"as Gerry Leisure aka Leisure Suit Gerry - <a href='https://www.facebook.com/events/1516327345341460/'>facebook event</a>, <a href='https://www.facebook.com/kombuese.graz'>Kombüse on facebook</a>"
2015-11-28,,impro,,"Zagreb, HR",STI/CRI Orchestra - Styrian Improvisers and Croatian Improvisers Orchestra - Fair Culture Festival - <a href='http://vnm.mur.at/STIO'>http://vnm.mur.at/STIO</a>
2015-11-27,,airplay,Radio FM4,Vienna,as Henry Bootz - Techno DJ Mix on La Boum De Luxe -  K K Podcast #70 - <a href='http://fm4.orf.at/radio/stories/1764901/'>http://fm4.orf.at/radio/stories/1764901/</a>
2015-11-22,,release,K K Podcast Berlin,Berlin,as Henry Bootz - Techno DJ Mix - <a href='https://soundcloud.com/klark-kennt-podcast/henry-bootz-k-k-podcast-berlin-70'>https://soundcloud.com/klark-kennt-podcast/henry-bootz-k-k-podcast-berlin-70</a>
2015-10-05,,impro,Stockwerk,Graz,"STIO - Styrian Improvisers Orchestra - ""Akustisch"" - <a href='http://vnm.mur.at/STIO'>http://vnm.mur.at/STIO</a>, <a href='http://stockwerkjazz.mur.at/'>http://stockwerkjazz.mur.at/</a>"
2015-06-08,,impro,Stockwerk,Graz,"STIO - Styrian Improvisers Orchestra - ""improvising music and acting"" - <a href='http://vnm.mur.at/STIO'>http://vnm.mur.at/STIO</a>"
2015-05-24,,impro,Forum Stadtpark,Graz,V:NM Festival <a href='http://vnm.mur.at'>http://vnm.mur.at/</a>
2015-05-09,,dj,Studio 8,Graz,as Henry Bootz - Lendwirbel
2015-04-11,,impro,Forum Stadtpark,Graz,Premiere: Austrian Improvisers Orchestra - Styrian Improvisers Orchestra mit Vienna Improvisers Orchestra und GIS Orchestra - <a href='http://vnm.mur.at/STIO'>http://vnm.mur.at/STIO</a>
2015-03-13,,dj,realraum,Graz,as Henry Bootz - Pi-Day im realraum - <a href='http://realraum.at/'>http://realraum.at/</a>
2014-12-31,,live,Papierfabrik,Graz,as Henry Bootz - Electronic Nerds Convention - <a href='http://www.papierfabrik.cc/electronerds/>http://www.papierfabrik.cc/electronerds/</a>
2014-12-19,,dj,Kombüse,Graz,as Henry Bootz - with Monique Fessl - <a href='https://www.facebook.com/kombuese.graz'>https://www.facebook.com/kombuese.graz</a>
2014-12-13,,live,Poligon Creative Centre,"Ljubljana, SLO",Strictly Analog Festival 2014 - <a href='http://wiki.ljudmila.org/Strictly_Analog_Festival_2014'>http://wiki.ljudmila.org/Strictly_Analog_Festival_2014</a/>
2014-12-09,,impro,Theater im Bahnhof,Graz,"STIO trifft TiB - ""Die große Besetzung II"" - Styrian Improvisers Orchestra trifft Theater im Bahnhof - <a href='http://vnm.mur.at/STIO'>http://vnm.mur.at/STIO</a> - <a href='http://www.theater-im-bahnhof.com/'>http://www.theater-im-bahnhof.com/</a>"
2014-11-14,,dj,Luise im Kunsthaus,Graz,Tanzcafe Moser - mit Monique Fessl
2014-11-03,,impro,Stockwerk,Graz,"STIO - Styrian Improvisers Orchestra - ""soundpoetry"" - <a href='http://vnm.mur.at/STIO'>http://vnm.mur.at/STIO</a>"
2014-10-30,,dj,Kombüse,Graz,as Henry Bootz - with Monique Fessl - <a href='https://www.facebook.com/kombuese.graz'>https://www.facebook.com/kombuese.graz</a>
2014-10-24,,workshop,Forum Stadtpark,Graz,Elevate Festival Lab - No-Input-Mixing Workshop - <a href='http://2014.elevate.at/festival/music-arts/lab/no-input-mixing-workshop/'>http://2014.elevate.at/festival/music-arts/lab/no-input-mixing-workshop/</a>
2014-10-23,,dj,Dom im Berg,Graz,"as iBootz - Elevate Festival, Interpenetration Stage - <a href='http://elevate.at'>http://elevate.at/</a> - <a href='http://interpenetration.net'>http://interpenetration.net</a>"
2014-10-16,,"radio, dj",Simon/off,Graz,as iBootz - disko404 Radio on Sub.fm - <a href='http://www.sub.fm/'>http://www.sub.fm/</a> - <a href='http://disko404.org/'>http://disko404.org/</a>
2014-10-09,,perf,Forum Stadtpark,Graz,Nights im Bunker - <a href='http://nightsimbunker.weblog.mur.at/'>http://nightsimbunker.weblog.mur.at/</a>
2014-10-06,,impro,Stockwerk,Graz,"STIO - Styrian Improvisers Orchestra - ""poetry minus one"" - <a href='http://vnm.mur.at/STIO'>http://vnm.mur.at/STIO</a>"
2014-09-27,,live,club wakuum,Graz,as Henry Bootz - Kultlabor Kick-Off Party - <a href='http://www.kultlabor.at/'>http://www.kultlabor.at/</a>
